dir,Entry,updated,nSub,SPSDD,year1,author1,doi1,Ref1,Title
1/112,11222,20071108,8,,1957,P.H.Stelson+,,"Jour: Physical Review, Vol.106, p.1252 (1957)","Cross Section for the 9Be(n,alpha)6He Reaction"
1/112,11223,20100609,12,,1957,L.Rosen+,,"Jour: Physical Review, Vol.107, p.824 (1957)","Neutron emission probabilities from the interaction of 14-MeV neutrons with Be, Ta and Bi."
1/112,11224,19860121,76,,1957,A.Langsdorf jr+,,"Jour: Physical Review, Vol.107, p.1077 (1957)","Angular Distributions of Scattered Neutrons."
1/112,11225,20100609,3,,1957,G.J.Fischer,,"Jour: Physical Review, Vol.108, p.99 (1957)","Cross section for the (n,2n) production in Be9."
1/112,11226,19800820,24,,1957,M.H.Mac gregor+,,"Jour: Physical Review, Vol.108, p.726 (1957)","Nonelastic Cross Sections At 14 Mev."
1/112,11227,19800820,3,,1957,H.Bichsel+,,"Jour: Physical Review, Vol.108, p.1025 (1957)","Reactions Li7(Alpha,N)B10, Li7(Alpha,Alpha)Li7 and B10(N,Alpha)Li7."
1/112,11228,19860121,5,,1958,M.P.Nakada+,,"Jour: Physical Review, Vol.110, p.1439 (1958)","Elastic Scattering of 14-Mev Neutrons From Beryllium and Carbon."
1/112,11229,20090916,6,,1958,J.D.Anderson+,,"Jour: Physical Review, Vol.111, p.572 (1958)","Inelastic Scattering of 14-MeV Neutrons from Carbon and Beryllium."
1/112,11230,19800820,12,,1958,M.H.Mac gregor+,,"Jour: Physical Review, Vol.111, p.1155 (1958)","Neutron Nonelastic Cross Sections At 21.0, 25.5 and 29.2 Mev."
1/112,11231,19860114,5,,1958,M.E.Wyman+,,"Jour: Physical Review, Vol.112, p.1264 (1958)","(N,T) Cross Sections for B-10,B-11 and Be-9"
1/112,11232,19800820,11,,1959,J.B.Marion+,,"Jour: Physical Review, Vol.114, p.1584 (1959)","Elastic and Nonelastic Neutron Cross Sections for Beryllium."
1/112,11233,19800820,9,,1960,R.B.Day+,,"Jour: Physical Review, Vol.117, p.1330 (1960)","Gamma Rays From Neutron Inelastic Scattering In B10, F19 and Fe56."
1/112,11234,19800820,4,,1960,G.J.Safford+,,"Jour: Physical Review, Vol.119, p.1291 (1960)","Precision Determination of The Slow Neutron Absorption Cross Section of B10."
1/112,11235,19800820,6,,1962,W.L.Imhof+,,"Jour: Physical Review, Vol.125, p.1334 (1962)","Cross Sections for The B11(N,Alpha)B12 Reaction."
1/112,11236,19841008,2,,1963,D.E.Alburger,,"Jour: Physical Review, Vol.132, p.328 (1963)","Beta Decay of Li-9."
1/112,11237,20061127,5,,1964,R.O.Lane+,,"Jour: Physical Review, Vol.133, p.B409 (1964)","Polarization and Differential Cross Section of Neutrons Scattered from BE9."
1/112,11238,19800820,7,,1964,D.Paya+,,"Prog: Oak Ridge National Lab. Reports, No.3582, p.58 (1964)","Parameters of Low Energy Resonances In Tungsten."
1/112,11239,19800820,5,,1966,R.E.Donaldson+,,"Jour: Physical Review, Vol.146, p.660 (1966)","Coherent Neutron Scattering Amplitudes of B10 and B11."
1/112,11240,19800820,5,,1968,R.L.Macklin+,,"Jour: Physical Review, Vol.165, p.1147 (1968)","Study of B-10(N,Alpha)Li-7 for E(N)=3-500 Kev."
1/112,11241,19870121,2,,1958,M.J.Nurmia+,,"Jour: Physical Review Letters, Vol.1, p.23 (1958)","New Isotope of Beryllium."
1/112,11242,19800820,2,,1954,P.H.Stelson,,"Priv.Comm: Stelson (1954)",""
1/112,11243,20061127,4,,1965,R.L.Macklin+,,"Jour: Physical Review, Vol.140, p.B324 (1965)","Energy Dependence of the 10B(n,alpha)/10B(n,alpha g) Cross-Section Ratio"
1/112,11244,19800820,13,,1955,C.T.Hibdon+,,"Jour: Physical Review, Vol.98, p.223(B3) (1955)","Total Neutron Cross Sections In The Kev Region, Be, B, C, F, Ti, Ni and Bi."
1/112,11245,19800820,5,,1960,H.W.Schmitt+,,"Jour: Nuclear Physics, Vol.17, p.109 (1960)","Total Neutron Cross Section of B10 In The Thermal Neutron Energy Range."
1/112,11246,19800820,2,,1968,L.Green,,"Jour: Nuclear Science and Engineering, Vol.32, p.30 (1968)","Fission-Spectrum-Averaged Cross-Section Measurement for The Be9(N,2N) Reaction."
1/112,11247,19800820,2,,1947,D.J.Hughes+,,"Jour: Physical Review, Vol.71, p.269 (1947)","The Half-Life of Be10."
1/112,11248,19800820,3,,1947,E.Fermi+,,"Jour: Physical Review, Vol.71, p.589 (1947)","The Transmission of Slow Neutrons Through Microcrystalline Materials."
1/112,11249,20081020,9,,1949,R.K.Adair+,,"Jour: Physical Review, Vol.75, p.1124 (1949)","Total Cross Section of Be, O, Na and Ca for Fast Neutrons."
1/112,11250,19800820,2,,1969,D.Bogart+,,"Jour: Nuclear Physics, Section A, Vol.125, p.463 (1969)","Measurement of The B10(N,Alpha)Li7,Li7*Relative Cross Sections In The Kev Region."
1/112,11251,19800820,4,,1956,R.O.Lane+,,"Prog: Argonne National Laboratory report series, No.5554, p.22 (1956)","Differential Cross Sections for Neutron Resonance Scattering."
1/112,11252,19860331,4,,1959,J.L.Fowler+,,"Prog: Oak Ridge National Lab. Reports, No.2718, p.16 (1959)","Neutron Scattering From Beryllium."
1/112,11253,20081015,4,,1965,R.E.Donaldson+,,"Jour: Physical Review, Vol.138, p.B1116 (1965)","Determination of The Coherent Neutron Scattering Amplitudes of Boron, Nitrogen and Oxygen By Mirror Reflection."
1/112,11254,19800820,2,,1961,,,"Rept: Knolls Atomic Power Lab. report series, No.2000-15 (1961)",""
1/112,11255,19800820,3,,1956,G.M.Frye jr+,,"Jour: Physical Review, Vol.103, p.328 (1956)","B-10(N,T2Alpha) and B-10(N,Dn'2Alpha) Reactions for 6-20 Mev Neutrons."
1/112,11256,19800820,21,,1961,D.B.Fossan+,,"Jour: Physical Review, Vol.123, p.209 (1961)","Neutron Total Cross Sections of Be,B10,B,C., and O."
1/112,11257,19800820,9,,1958,W.P.Ball+,,"Jour: Physical Review, Vol.110, p.1392 (1958)","Neutron Nonelastic Cross Sections From 7 To 14 Mev."
1/112,11258,19800820,4,,1944,L.J.Rainwater+,,"Rept: Chicago University Metallurgical Labs Reports, No.2269 (1944)","The Slow Neutron Transmission of Be Metal As Measured By A Neutron Beam Spectrometer In The Energy Region 0.004 Ev To 50 Ev."
1/112,11259,20090507,4,,1958,D.J.Hughes+,,"Prog: Washington AEC Office Reports, No.745, p.9 (1958)","No title"
1/112,11260,20071108,24,,1947,R.Fields+,,"Jour: Physical Review, Vol.71, p.508 (1947)","Total Cross Sections Measured with Photo-Neutrons"
1/112,11261,19860909,38,,1949,C.T.Hibdon+,,"Jour: Physical Review, Vol.76, p.100 (1949)","Neutron Cross Sections At 115 Ev and 300 Ev."
1/112,11262,19810428,2,,1947,R.B.Sutton+,,"Jour: Physical Review, Vol.71, p.272 (1947)","The Capture Cross Section of Boron for Neutrons of Energies From 0.01 Ev To 1000 Ev."
1/112,11263,19991027,43,,1965,J.E.Strain+,,"Rept: Oak Ridge National Lab. Reports, No.3672 (1965)","14-MeV neutron reactions"
1/112,11264,19810428,2,,1961,G.A.Bartholomew,,"Jour: Annual Review of Nuclear and Part.Sci., Vol.11, p.259 (1961)","Neutron Capture Gamma Rays."
1/112,11265,20080702,9,,1957,E.W.Bennett+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.2, p.232(X1) (1957)","Measurement of Total and Differential Cross Sections by Fast Coincidence Detection of d-d Neutrons and Their Helium-3 Recoils."
1/112,11266,19810428,8,,1959,E.G.Bilpuch+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.4, p.42(R4) (1959)","Recent Total Cross Sections for Li, N, C, Cl, Co, Sr and Pb."
1/112,11267,19810428,5,,1959,E.Haddad+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.4, p.358(J2) (1959)","Elastic and Inelastic Scattering of Neutrons From C12."
1/112,11268,19810428,6,,1960,J.H.Mc crary+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.5, p.246(HA5) (1960)","(N,2N) Cross Sections of N-14, F-19, Cu-63, Cu-65 and Sb-121 In The Energy Region of 13.5 Mev To 15.2 Mev."
1/112,11269,19860417,10,,1961,W.L.Rogers+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.6, p.61(TA7) (1961)","Inelastic Neutron Scattering From F19 and Ta181."
1/112,11270,19821027,6,,1959,R.E.Chrien+,,"Priv.Comm: Chrien (1959)",""
1/112,11271,20101029,6,,1966,P.L.Beach+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.11, p.471(EC2) (1966)","Elastic neutron scattering from N, O, and Ar at 14.1 MeV."
1/112,11272,19810428,3,,1961,E.Starr+,,"Rept: Brookhaven National Laboratory report series, No.719-III, p.1034 (1961)","Measurement of The Diffusion Parameters of Graphite and Graphite-Bismuth By Pulsed Neutron Methods."
1/112,11273,19810428,2,,1951,B.B.Kinsey+,,"Jour: Canadian Journal of Physics, Vol.29, p.1 (1951)","Gamma-Rays Produced By Slow Neutron Capture In Beryllium, Carbon and Nitrogen."
1/112,11274,20080618,98,,1953,E.B.Paul+,,"Jour: Canadian Journal of Physics, Vol.31, p.267 (1953)","Cross Section Measurements of Reactions Induced By Neutrons of The 14.5 Mev Energy."
1/112,11275,19810428,4,,1961,G.C.Hanna+,,"Jour: Canadian Journal of Physics, Vol.39, p.1784 (1961)","Thermal Neutron Cross Sections and Resonance Integrals of The Reactions O17(N,Alpha)C14, Ar36(N,Alpha)S33, and N14(N,P)C14."
1/112,11276,20100518,23,,1967,W.L.Rodgers+,,"Prog: Chicago Operations Office,A.E.C.,Contract rept., No.1573-33, p.2 (1967)","Neutron scattering from C12, Fe54, Fe56, Cu65, Ni58, and Ni60."
1/112,11277,19810428,9,,1966,D.W.Kappe,,"Jour: Dissertation Abstracts B (Sciences), Vol.27, p.919 (1966)","A Self-Consistent Set of Thermal Neutron Activation Cross Sections."
1/112,11278,19810428,2,,1958,J.M.Hendrie+,,"Conf: Second Internat. At.En. Conf., Geneva 1958, Vol.12, p.695(1601) (1958)","Slowing Down and Diffusion Lengths of Neutrons In Graphite- Bismuth Systems."
1/112,11279,19810428,3,,1952,R.L.Henkel+,,"Priv.Comm: Henkel (1952)",""
1/112,11280,19860417,3,,1966,J.L.Fowler+,,"Conf: Neutron Cross-Section Techn. Conf., Washington 1966, Vol.2, p.653 (1966)","Differential Elastic Scattering of Neutrons From Nitrogen."
1/112,11281,20110731,20,,1959,F.Gabbard+,,"Jour: Nuclear Physics, Vol.14, p.277 (1959)","The disintegration of nitrogen by fast neutrons."
1/112,11282,19810428,15,,1959,H.E.Hall+,,"Jour: Nuclear Physics, Vol.14, p.295 (1959)","Gamma Radiations From Inelastic Scattering of Fast Neutrons In C12, N14 and O16."
1/112,11283,19810428,3,,1960,J.Benveniste+,,"Jour: Nuclear Physics, Vol.19, p.448 (1960)","Gamma Rays From The Interaction of 14-Mev Neutrons With Carbon."
1/112,11284,19810428,7,,1963,K.K.Seth+,,"Jour: Nuclear Physics, Vol.47, p.137 (1963)","Total Neutron Cross Section of Carbon."
1/112,11285,19810428,6,,1963,E.A.Davis+,,"Jour: Nuclear Physics, Vol.48, p.169 (1963)","Disintegration of O16 and C12 By Fast Neutrons."
1/112,11286,20070706,23,,1964,R.L.Clarke+,,"Jour: Nuclear Physics, Vol.53, p.177 (1964)","Elastic and inelastic scattering of 14.1 MeV Neutrons from C, Mg, Si and S."
1/112,11287,19810428,49,,1965,R.M.Wilenzick+,,"Jour: Nuclear Physics, Vol.62, p.511 (1965)","Elastic and Inelastic Scattering of 6 Mev Neutrons."
1/112,11288,19810428,4,,1965,M.V.Harlow jr+,,"Jour: Nuclear Physics, Vol.67, p.249 (1965)","Elastic Scattering of 17 To 21Mev Neutrons From C12."
1/112,11289,19860604,7,,1965,N.W.Golchert+,,"Jour: Nuclear Physics, Vol.73, p.349 (1965)","Cross Section of Some Reactions of Tc-99 With 14.1Mev Neutrons."
1/112,11290,19810428,8,,1960,P.F.Nichols,,"Jour: Nuclear Science and Engineering, Vol.7, p.395 (1960)","Absorption Cross Section of Graphite."
1/112,11291,19810428,4,,1969,J.K.Dickens+,,"Jour: Nuclear Science and Engineering, Vol.36, p.280 (1969)","The N-14(N,X Gamma) Reaction for E(N) From 5.8 To 8.6 Mev."
1/112,11292,19810428,6,,1953,C.H.Johnson+,,"Prog: Oak Ridge National Lab. Reports, No.1365, p.1 (1953)","Total Neutron Cross Sections of N14, Ge, Se, Cd and Hg."
1/112,11293,19810428,2,,1958,H.B.Willard+,,"Prog: Oak Ridge National Lab. Reports, No.2501, p.18 (1958)","Total Cross Sections of C12 and C13 for Fast Neutrons."
1/112,11294,19810428,6,,1950,G.Freier+,,"Jour: Physical Review, Vol.78, p.508 (1950)","Total Cross Section of C, O, Mg, Si, and S for Fast Neutrons."
1/112,11295,19810428,2,,1946,D.L.Hill,,"Prog: Chicago University Metallurgical Labs Reports, No.3647, p.31 (1946)","K-40 Thermal (N,P) Reaction"
1/112,11296,19810428,4,,1950,C.H.Johnson+,,"Jour: Physical Review, Vol.80, p.818 (1950)","Interaction of Fast Neutrons With Nitrogen."
1/112,11297,19810428,5,,1951,G.H.Goldschmidt+,,"Jour: Physical Review, Vol.83, p.88 (1951)","The Structure of Ammonium Chloride By Neutron Diffraction."
1/112,11298,19810428,5,,1951,A.W.Mc reynolds,,"Jour: Physical Review, Vol.84, p.969 (1951)","Neutron Refraction In O(2), N(2), He, A Gases."
1/112,11299,19810428,5,,1952,J.J.Hinchey+,,"Jour: Physical Review, Vol.86, p.483 (1952)","The Total Neutron Cross Section of Nitrogen."
1/113,11300,19860417,6,,1956,R.W.Hill,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.1, p.174(F1) (1956)","Small-Angle Elastic Scattering of 5-Mev Neutrons From Carbon, Aluminum, Iron, Copper, and Lead."
1/113,11301,19810428,5,,1952,S.W.Peterson+,,"Jour: Physical Review, Vol.87, p.462 (1952)","The Coherent Neutron Scattering Cross Sections of Nitrogen and Vanadium."
1/113,11302,19860120,7,,1952,A.B.Lillie,,"Jour: Physical Review, Vol.87, p.716 (1952)","The Disintegration of Oxygen and Nitrogen By 14.1 Mev Neutrons."
1/113,11303,19860604,4,,1952,J.E.Brolley jr+,,"Jour: Physical Review, Vol.88, p.618 (1952)","(N,2N) Reactions In C-12, Cu-63 and Mo-92."
1/113,11304,19860424,12,,1953,E.R.Graves+,,"Jour: Physical Review, Vol.89, p.343 (1953)","Distribution In Energy of The Neutrons From The Interaction of 14-Mev Neutrons With Some Elements."
1/113,11305,19810428,6,,1953,H.R.Dvorack+,,"Jour: Physical Review, Vol.90, p.618 (1953)","Total Cross Sections of Chlorine, Sodium, Titanium and Bromine for Fast Neutrons."
1/113,11306,19930222,14,,1953,V.E.Scherrer+,,"Jour: Physical Review, Vol.91, p.1476 (1953)","Gamma Rays From Interaction of 14-Mev Neutrons With Various Materials"
1/113,11307,19810428,2,,1954,J.D.Dudley+,,"Jour: Physical Review, Vol.94, p.807(F8) (1954)","N14(N,2N)N13 Cross-Section Measurement With 14 Mev Neutrons."
1/113,11308,19810428,25,,1954,N.Nereson+,,"Jour: Physical Review, Vol.94, p.1678 (1954)","Average Neutron Total Cross Sections In The 3-To 12-Mev Region."
1/113,11309,19810428,2,,1954,G.R.Hennig,,"Jour: Physical Review, Vol.95, p.92 (1954)","Thermal Neutron Capture Cross Section of Carbon-13."
1/113,11310,19810428,12,,1955,E.R.Graves+,,"Jour: Physical Review, Vol.97, p.1205 (1955)","Cross Sections for Nonelastic Interactions of 14-Mev Neutrons With Various Elements."
1/113,11311,19810428,2,,1955,M.E.Battat+,,"Jour: Physical Review, Vol.97, p.1266 (1955)","Gamma Rays From 14-Mev Neutron Bombardment of C12."
1/113,11312,19860417,4,,1955,B.Jennings+,,"Jour: Physical Review, Vol.98, p.582 (1955)","Scattering of 4.4-Mev Neutrons By Iron and Carbon."
1/113,11313,20071108,4,,1955,R.N.Little jr+,,"Jour: Physical Review, Vol.98, p.634 (1955)","Liquid scintillator Measurements of Angular Elastic Scattering of Neutrons from Carbon, Aluminum, and Sulfur"
1/113,11314,19810428,3,,1955,J.L.Fowler+,,"Jour: Physical Review, Vol.98, p.728 (1955)","Differential Elastic Scattering Cross Sections for Neutrons On Nitrogen."
1/113,11315,19810428,3,,1955,G.M.Frye jr+,,"Jour: Physical Review, Vol.99, p.1375 (1955)","Disintegration of Carbon Into Three Alpha Particles By 12-20 Mev Neutrons."
1/113,11316,19860331,7,,1956,C.O.Muehlhause+,,"Jour: Physical Review, Vol.103, p.720 (1956)","Neutron Scattering From Iron and Carbon By Time-Of-Flight."
1/113,11317,19810428,7,,1956,R.M.Brugger+,,"Jour: Physical Review, Vol.104, p.1054 (1956)","Total Neutron Cross Section of Chlorine and Carbon."
1/113,11318,19810428,3,,1957,R.R.Carlson,,"Jour: Physical Review, Vol.107, p.1094 (1957)","Cross Sections for Pickup Reactions of 14-Mev Neutrons With N14."
1/113,11319,19840606,8,,1958,J.E.Wills jr+,,"Jour: Physical Review, Vol.109, p.891 (1958)","Scattering of Fast Neutrons From C-12 and F-19."
1/113,11320,19810428,14,,1958,J.P.Conner,,"Jour: Physical Review, Vol.109, p.1268 (1958)","Total Neutron Cross Sections Near 14.1 Mev."
1/113,11321,20110727,11,,1958,R.W.Hill,,"Jour: Physical Review, Vol.109, p.2105 (1958)","Angular distributions of elastic scattering of 5-MeV neutrons."
1/113,11322,19860319,26,,1958,J.H.Coon+,,"Jour: Physical Review, Vol.111, p.250 (1958)","Scattering of 14.5-Mev Neutrons By Complex Nuclei."
1/113,11323,19820324,2,,1958,M.H.Mac gregor+,,"Jour: Physical Review, Vol.112, p.486 (1958)","Neutron Nonelastic Cross Section Measurements On Carbon."
1/113,11324,19820324,2,,1959,W.E.Kreger+,,"Jour: Physical Review, Vol.113, p.890 (1959)","C12(N,P)B12 Cross Section for 14 9 To 17.5-Mev Neutrons."
1/113,11325,19840311,5,,1959,J.B.Singletary+,,"Jour: Physical Review, Vol.114, p.1595 (1959)","Scattering of 14-Mev Neutrons By Carbon."
1/113,11326,19820324,2,,1960,C.M.Huddleston+,,"Jour: Physical Review, Vol.117, p.1055 (1960)","Total Neutron Cross Section for C12 From 500Kev To 1350 Kev."
1/113,11327,19820324,7,,1961,R.M.Wilenzick+,,"Jour: Physical Review, Vol.121, p.1150 (1961)","Measurement and Interpretation of Neutron Total Cross Sections of Carbon, Calcium and Lead."
1/113,11328,19820324,30,,1961,L.A.Rayburn,,"Jour: Physical Review, Vol.122, p.168 (1961)","14.4 Mev (N,2N) Cross Sections."
1/113,11329,19830811,105,,1961,J.H.Gibbons+,,"Jour: Physical Review, Vol.122, p.182 (1961)","Average Radiative Capture Cross Sections for 7- To 170-Kev Neutrons."
1/113,11330,19820324,5,,1961,H.O.Cohn+,,"Jour: Physical Review, Vol.122, p.534 (1961)","Carbon-13 Neutron Total Cross Section."
1/113,11331,19860210,30,,1963,R.L.Macklin+,,"Jour: Physical Review, Vol.129, p.2695 (1963)","Average Radiative Capture Cross Sections for 30 and 65 Kev Neutrons."
1/113,11332,19820324,4,,1963,R.A.Al-kital+,,"Jour: Physical Review, Vol.130, p.1500 (1963)","C12(N,Alpha)Be9 Reaction Induced By 14-Mev Neutrons."
1/113,11333,20071015,3,,1964,D.B.Fossan+,,"Jour: Physical Review, Vol.135, p.B1347 (1964)","Levels in N16 from the Total Neutron Cross Section of N15."
1/113,11334,19860120,9,,1966,D.Lister+,,"Jour: Physical Review, Vol.143, p.745 (1966)","Elastic Scattering of Neutrons From Carbon and Oxygen In The Energy Range 3.0 To 4.7 Mev."
1/113,11335,19820324,3,,1966,D.B.Fossan+,,"Jour: Physical Review, Vol.152, p.980 (1966)","Study of N16 By N15 + N Total Cross Section Measurement."
1/113,11336,20071108,6,,1967,P.Fessenden+,,"Jour: Physical Review, Vol.158, p.948 (1967)","N14(n,d)C13, N14(n,t)C12, and N15(n,d)C14 Near E=14 MeV"
1/113,11337,19820324,2,,1957,G.A.Bartholomew+,,"Prog: AECL Reports, No.36, p.36 (1957)","Pair Spectrometer and Flat Crystal Spectrometer."
1/113,11338,19860616,5,,1953,B.Ragent,,"Rept: U.C., Lawrence Rad.Lab. (Berkeley and Livermore), No.2337 (1953)","The Variation of High-Energy Total Neutron Cross Sections With Energy."
1/113,11339,19820324,2,,1966,J.D.Anderson+,,"Prog: U.C., Lawrence Rad.Lab. (Berkeley and Livermore), No.50001-66-2, p.19 (1966)","Energy Dependence of The N14(N,P0) C14 Reaction."
1/113,11340,19820210,2,,1966,S.R.Salisbury+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.11, p.28(BB4) (1966)","Fast-Neutron Total Cross Sections of Ne-22."
1/113,11341,19820324,13,,1959,N.A.Bostrom+,,"Rept: Wright Air Devel. Centre Reports, No.59-31 (1959)","Interaction of Fast Neutrons In Iron, Lead, Oxygen and Hydrogen."
1/113,11342,19820324,2,,1963,H.T.Motz+,,"Rept: Washington AEC Office Reports, No.1044, p.40 (1963)","Thermal Capture Cross Sections."
1/113,11343,19820324,36,,1950,S.P.Harris+,,"Jour: Physical Review, Vol.79, p.11 (1950)","Low Energy Neutron Resonance Scattering and Absorption."
1/113,11344,19820324,3,,1955,V.L.Sailor,,"Priv.Comm: Sailor (1955)",""
1/113,11345,19820324,2,,1957,G.R.Hennig,,"Rept: Brookhaven National Laboratory report series, No.489, p.19 (1957)","The Slow Neutron Absorption Cross Section of Graphite."
1/113,11346,19830811,12,,1963,R.W.Bauer+,,"Jour: Nuclear Physics, Vol.47, p.241 (1963)","Scattering of 14 Mev Neutrons From Nitrogen and Oxygen."
1/113,11347,19830811,3,,1967,R.W.Bauer+,,"Jour: Nuclear Physics, Section A, Vol.93, p.673 (1967)","Elastic Scattering of 7 To 14 Mev Neutrons From Nitrogen."
1/113,11348,19820324,3,,1968,D.R.Maxson+,,"Jour: Nuclear Physics, Section A, Vol.110, p.609 (1968)","N14(N,Alpha)B11 Reaction At 14.1 Mev."
1/113,11349,19820324,4,,1959,R.C.Block+,,"Prog: Oak Ridge National Lab. Reports, No.2718, p.26 (1959)","Fast-Chopper Time-Of-Flight Neutron Spectrometer."
1/113,11350,19820324,12,,1961,L.F.Chase jr+,,"Rept: Air Force Spec.Weap.Center Kirtland A.F.B.Repts., No.61-15 (1961)","Fast Neutron Cross Sections of Oxygen and Nitrogen."
1/113,11351,19820324,2,,1957,C.O.Muehlhause+,,"Prog: Brookhaven National Laboratory report series, No.489, p.21 (1957)","The Slow Neutron Absorption Cross Section of Graphite."
1/113,11352,20090507,2,,1950,H.B.Willard+,,"Rept: Massachusetts Inst. of Technology Reports, No.45 (1950)","No title"
1/113,11353,19820324,2,,1966,P.F.Yergin+,,"Conf: Neutron Cross-Section Techn. Conf., Washington 1966, Vol.2, p.690 (1966)","Mev Total Cross Sections With The Rensselaer Linac."
1/113,11354,20090507,4,,1968,L.F.Hansen+,,"Conf: Nuclear Cross-Sections Techn. Conf., Washington 1968, Vol.1, p.225(B-13) (1968)","No title"
1/113,11355,19820324,4,,1954,H.Palevsky,,"Priv.Comm: Palevsky (1954)",""
1/113,11356,19820324,5,,1960,J.M.Ferguson+,,"Jour: Physical Review, Vol.118, p.228 (1960)","Cross-Sections for The (N2N) Reaction In N14,P31,Cu63, and Pr141."
1/113,11357,19860120,9,,1957,N.A.Bostrom+,,"Rept: Wright Air Devel. Centre Reports, No.57-446 (1957)","The Elastic Scattering of Fast Neutrons From Oxygen and Nitrogen."
1/113,11358,19820324,3,,1958,N.A.Bostrom+,,"Rept: Wright Air Devel. Centre Reports, No.58-88 (1958)","Inelastic Scattering of Fast Neutrons From Nitrogen and Oxygen."
1/113,11359,19871222,4,,1960,R.B.Walton+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.5, p.288(WA5) (1960)","Total Neutron Cross Sections of C, Be-O, Fe and Cd."
1/113,11360,19820324,2,,1959,H.E.Hall+,,"Rept: Washington AEC Office Reports, No.1021, p.52 (1959)","Inelastic Scattering of Fast Neutrons By N-14 and Al-27"
1/113,11361,19861029,10,,1952,W.W.Havens jr,,"Priv.Comm: Havens (1952)",""
1/113,11362,20071108,3,,1954,L.C.Thompson+,,"Jour: Physical Review, Vol.94, p.941 (1954)","Gamma Rays from the Inelastic Scattering of 14-MeV Neutrons in C12 and O16"
1/113,11363,20071108,8,,1947,A.Wattenberg,,"Jour: Physical Review, Vol.71, p.497 (1947)","Photo-Neutron Sources and the Energy of the Photo- Neutrons"
1/113,11364,19820324,4,,1964,T.R.Donoghue+,,"Jour: Nuclear Physics, Vol.54, p.49 (1964)","Angular Distribution of Neutrons Elastically Scattered From N-15."
1/113,11365,19820324,2,,1953,S.P.Harris+,,"Prog: Argonne National Laboratory report series, No.5031, p.68 (1953)","Pile Absorption Cross Section of Na23."
1/113,11366,19820324,2,,1968,E.F.Bennett+,,"Prog: Argonne National Laboratory report series, No.7310, p.19 (1968)","Cross Section for The Ne21(N(Th),Alpha)O18."
1/113,11367,19820324,5,,1959,E.Merzbacher+,,"Jour: Annals of Physics (New York), Vol.8, p.194 (1959)","S- and P-Wave Neutron Spectroscopy. Part I. Peak Height Analysis and Level Assignments."
1/113,11368,19820324,13,,1961,H.W.Newson+,,"Jour: Annals of Physics (New York), Vol.14, p.365 (1961)","S-And P-Wave Neutron Spectroscopy. Part Vi. Level Density and Neutron Excess."
1/113,11369,19860120,2,,1962,K.W.Seeman+,,"Rept: Knolls Atomic Power Lab. report series, No.2214 (1962)","O16(N,P)N16 Cross Section From 12.6 To 16.3 Mev."
1/113,11370,19820324,2,,1961,F.J.Vaughn+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.6, p.374(X1) (1961)","Total Neutron Cross Section of O-18."
1/113,11371,19820324,2,,1962,J.P.Martin+,,"Jour: Bulletin of the American Physical Society Ser.II, Vol.7, p.72(V5) (1962)","Differential Cross Section and Polarization Angular Distributions for O16(N,N)O16."
1/113,11372,19850410,8,,1965,T.Fuketa+,,"Prog: Oak Ridge National Lab. Reports, No.3778, p.38 (1965)","Level Spacings and S-Wave Neutron Strength Functions of The Isotopes of Hafnium."
1/113,11373,19820324,3,,1962,H.E.Jackson+,,"Jour: Physical Review, Vol.127, p.461 (1962)","Resonant Absorption of Neutrons By Crystals."
1/113,11374,19820324,2,,1966,M.R.Bhat,,"Jour: Canadian Journal of Physics, Vol.44, p.399 (1966)","Spin Assignments for Three Resonances In Ir-191."
1/113,11375,19820324,3,,1953,R.M.Bartholomew+,,"Jour: Canadian Journal of Chemistry, Vol.31, p.204 (1953)","Thermal Neutron Capture Cross-Section of Na23 and Mn55."
1/113,11376,19820324,10,,1963,N.P.Baumann,,"Rept: Du Pont, Savannah River Reports, No.817 (1963)","Resonance Integral and Self-Shielding Factors for Detector Foils."
1/113,11377,19820324,6,,1963,F.J.Vaughn+,,"Jour: Nuclear Science and Engineering, Vol.17, p.325 (1963)","Total Neutron Cross Sections of Na, K, and Ca From 0.9 Mev To 2.1 Mev"
1/113,11378,20090507,4,,1962,R.G.Johnson+,,"Prog: Lockheed Aircraft Co. Reports, No.4-50-62-1, p.22 (1962)","No title"
1/113,11379,19820324,3,,1958,H.R.Striebel+,,"Jour: Nuclear Physics, Vol.6, p.188 (1958)","Polarization of Li7(P,N)Be7 Neutrons."
1/113,11380,19820324,13,,1963,R.L.Macklin+,,"Jour: Nuclear Physics, Vol.43, p.353 (1963)","Neutron Capture Cross Sections Near 30Kev Using A Moxon-Rae Detector."
1/113,11381,19820324,3,,1965,F.J.Vaughn+,,"Jour: Nuclear Physics, Vol.64, p.336 (1965)","The Total Neutron Cross Section of O18 From 0.14 To 2.47 Mev."
